artist_id,artist_name,artist_name_normalized
art_24252a1b6e26,A Parliament Thang,a parliament thang
art_84fcc87218da,Amp Fiddler,amp fiddler
art_0455f1610c4a,Anderson .Paak,anderson .paak
art_ffe23fdbdb0e,Andre Foxxe,andre foxxe
art_8ba799c46419,Andre Foxxe featuring Flea,andre foxxe featuring flea
art_910dbdc3ddda,Andre Nickatina,andre nickatina
art_d4bff5d6c55f,Aram Khachaturian,aram khachaturian
art_33feb546b198,Artists United Against Apartheid,artists united against apartheid
art_a6288c3d74f9,Bernie Worrell,bernie worrell
art_8e4b4e9d5d4d,Bill Laswell,bill laswell
art_f0c0850b10fd,Bill Laswell and Bootsy Collins,bill laswell and bootsy collins
art_c2c66053c7da,Bootsy,bootsy
art_8b0eaa82feb2,Bootsy Collins,bootsy collins
art_5b47ab2d302b,Bootsy Collins & Bernie Worrell,bootsy collins & bernie worrell
art_ac9f54863349,Bootsy Collins & Bootsy's New Rubber Band,bootsy collins & bootsy's new rubber band
art_c66a42576b2e,Bootsy Collins / Bootsy's New Rubber Band,bootsy collins / bootsy's new rubber band
art_d827cfc7bae0,Bootsy Collins And The New Rubber Band,bootsy collins and the new rubber band
art_20c161c7ada5,"Bootsy Collins, Bernie Worrell","bootsy collins, bernie worrell"
art_f7913c04f0a6,"Bootsy Collins, BlvckSeeds, Dru Down, Mr. Talkbox","bootsy collins, blvckseeds, dru down, mr. talkbox"
art_b8039a892d8b,"Bootsy Collins, Bootsy Collins’ New Rubber Band, Brandon ""TAZ"" Niederauer","bootsy collins, bootsy collins’ new rubber band, brandon ""taz"" niederauer"
art_66a8489a1cdb,"Bootsy Collins, Branford Marsalis, Danielle René Withers, Victor Wooten","bootsy collins, branford marsalis, danielle rené withers, victor wooten"
art_29e960488097,"Bootsy Collins, Christian McBride, Brother Nature","bootsy collins, christian mcbride, brother nature"
art_65471f2b4510,"Bootsy Collins, Ellis Hall","bootsy collins, ellis hall"
art_518155b47ad7,"Bootsy Collins, Ellis Hall, Cornell West, EmiSunshine, Victor Wooten","bootsy collins, ellis hall, cornell west, emisunshine, victor wooten"
art_aaae55b61d6d,"Bootsy Collins, Emmaline","bootsy collins, emmaline"
art_31bd0fb9e6b9,"Bootsy Collins, Frankie ""Kash"" Waddy, Christian McBride, Emmaline","bootsy collins, frankie ""kash"" waddy, christian mcbride, emmaline"
art_f740d341d0d2,"Bootsy Collins, Gary Chandler, Jason Wilson, Pretty-Fatt","bootsy collins, gary chandler, jason wilson, pretty-fatt"
art_ef31e7422d3e,"Bootsy Collins, George Benson, The Williams Singers","bootsy collins, george benson, the williams singers"
art_55bf6f929626,"Bootsy Collins, Hollywood Anderson","bootsy collins, hollywood anderson"
art_0811ba5bbfe5,"Bootsy Collins, Johnny Davis, Brother Nature","bootsy collins, johnny davis, brother nature"
art_3046ead20529,"Bootsy Collins, Robert ""Bewise"" Harding","bootsy collins, robert ""bewise"" harding"
art_42d23e8068c4,"Bootsy Collins, Rod Castro, Henry Invisible, Brother Nature","bootsy collins, rod castro, henry invisible, brother nature"
art_9abeede9b111,"Bootsy Collins, Uché, Branford Marsalis","bootsy collins, uché, branford marsalis"
art_1534e0b818ca,Bootsy Phelps And Gary,bootsy phelps and gary
art_2cf0568f6e52,Bootsy Phelps And The Complete Strangers,bootsy phelps and the complete strangers
art_3f5d89ded040,Bootsy's New Rubber Band,bootsy's new rubber band
art_3dd806afc0e8,Bootsy's Rubber Band,bootsy's rubber band
art_6cd37fdeaa99,Bootsy's Rubber Band and Bootsy Collins,bootsy's rubber band and bootsy collins
art_aadac51a2f05,Brides of Funkenstein,brides of funkenstein
art_df6ce4502b8f,Brothers Nalbandyan,brothers nalbandyan
art_c5dd1252d4e8,Bruno Mars & Anderson .Paak,bruno mars & anderson .paak
art_0dfad6f40c26,Buckethead,buckethead
art_4f4cd19fbe0f,Cacophonic FM,cacophonic fm
art_70cbdeb526ba,Childish Gambino,childish gambino
art_1ca83648b3c2,Chops Horns,chops horns
art_95255f88831f,Cimafunk,cimafunk
art_04f3dad248a9,"Clinton, George","clinton, george"
art_c93b6068b364,Colonel Claypool's Bucket of Bernie Brains,colonel claypool's bucket of bernie brains
art_56c57c846f9b,Dance Gavin Dance,dance gavin dance
art_34351f9810ae,Danny Bedrosian,danny bedrosian
art_1f8a2c66fa69,Danny Bedrosian and Secret Army,danny bedrosian and secret army
art_8bd140dd2739,"Danny Bedrosian, Brothers Nalbandyan","danny bedrosian, brothers nalbandyan"
art_1341028331ab,Darrell Banks,darrell banks
