release_id,track_position,person_name,person_name_variant,role,discogs_artist_id,discogs_release_id,source
rel_6316fd96853a,A,Billy Nelson,W. Nelson,Written-By,215306,246059,discogs
rel_6316fd96853a,A,Eddie Hazel,E. Hazel,Written-By,230473,246059,discogs
rel_6316fd96853a,A,George Clinton,G. Clinton,Written-By,29262,246059,discogs
rel_6316fd96853a,B,Ruth Copeland,,Written-By,83906,246059,discogs
rel_5b0b9001e9d8,1,Clip Payne,,Backing Vocals,23295,1753393,discogs
rel_5b0b9001e9d8,1,Garry Shider,,Backing Vocals,156375,1753393,discogs
rel_5b0b9001e9d8,1,George Clinton,,Backing Vocals,29262,1753393,discogs
rel_5b0b9001e9d8,1,Ken Williams (8),,Backing Vocals,1293085,1753393,discogs
rel_5b0b9001e9d8,1,Lige Curry,,Backing Vocals,160478,1753393,discogs
rel_5b0b9001e9d8,1,Patrick Drummond,Patric Drummond,Backing Vocals,332631,1753393,discogs
rel_5b0b9001e9d8,1,"Robert ""P-Nut"" Johnson",Robert Johnson,Backing Vocals,162917,1753393,discogs
rel_5b0b9001e9d8,1,Steve Boyd,,Backing Vocals,159528,1753393,discogs
rel_5b0b9001e9d8,1,Dean Ragland,,Drums,291806,1753393,discogs
rel_5b0b9001e9d8,2,Lige Curry,,Bass,160478,1753393,discogs
rel_5b0b9001e9d8,3,Blackbyrd McKnight,"Dewayne ""Blackbird"" McKnight",Guitar,4782987,1753393,discogs
rel_5b0b9001e9d8,3,George Clinton,,"Lead Vocals, Backing Vocals",29262,1753393,discogs
rel_5b0b9001e9d8,3,George Clinton,,Producer,29262,1753393,discogs
rel_5b0b9001e9d8,3,George Clinton,Clinton,Written-By,29262,1753393,discogs
rel_5b0b9001e9d8,4,Bootsy Collins,,"Bass, Guitar, Keyboards, Drum Programming",24072,1753393,discogs
rel_5b0b9001e9d8,4,David Spradley,,Keyboards,55173,1753393,discogs
rel_5b0b9001e9d8,4,George Clinton,,Producer,29262,1753393,discogs
rel_5b0b9001e9d8,4,Bootsy Collins,Collins,Written-By,24072,1753393,discogs
rel_5b0b9001e9d8,4,George Clinton,Clinton,Written-By,29262,1753393,discogs
rel_5b0b9001e9d8,5,Amp Fiddler,,Backing Vocals,37718,1753393,discogs
rel_5b0b9001e9d8,5,Clip Payne,Mike Clip Payne,Backing Vocals,23295,1753393,discogs
rel_5b0b9001e9d8,5,Jesse Talbert,,Backing Vocals,332629,1753393,discogs
rel_5b0b9001e9d8,5,Ron Ford,,Backing Vocals,76882,1753393,discogs
rel_5b0b9001e9d8,5,Clip Payne,Payne,Written-By,23295,1753393,discogs
rel_5b0b9001e9d8,6,Flea,,Bass,39600,1753393,discogs
rel_5b0b9001e9d8,6,Cliff Martinez,,Drums,130861,1753393,discogs
rel_5b0b9001e9d8,6,Hillel Slovak,Hillel,Guitar,513652,1753393,discogs
