release_id,artist_id,artist_name,album_name,release_date,release_category,edition_type,era,genre
rel_18832d6e2728,art_24252a1b6e26,A Parliament Thang,,1970,,,,
rel_6316fd96853a,art_24252a1b6e26,A Parliament Thang,I Call My Baby Pussycat,1970,original,standard,Classic P-Funk (1970–1981),"Funk, Soul, P-Funk, Proto-Funk"
rel_4289e1823df5,art_84fcc87218da,Amp Fiddler,Afro Strut,2006,,,,
rel_76a653780eb4,art_84fcc87218da,Amp Fiddler,Amp Dog Knights,2017-11-10,,,,
rel_006e76f4d476,art_84fcc87218da,Amp Fiddler,BACK TO BASIC,2024-05-31,,,,
rel_ef82d42dd293,art_84fcc87218da,Amp Fiddler,BACK TO BASIC (SOUL HOP MIX),2024-06-28,,,,
rel_3fd164a7f28e,art_84fcc87218da,Amp Fiddler,BACK TO BASIC (THE INSTRUMENTALS),2024-06-28,,,,
rel_19958e074b98,art_84fcc87218da,Amp Fiddler,Basementality,2002-07-08,,,,
rel_a0cfe26567e4,art_84fcc87218da,Amp Fiddler,Black Riot 02,2017-02-27,,,,
rel_61c9dc4ca41f,art_84fcc87218da,Amp Fiddler,Come On Over,2023-06-30,,,,
rel_686aad5ba56d,art_84fcc87218da,Amp Fiddler,Dreamin',2004,,,,
rel_89747d091e4b,art_84fcc87218da,Amp Fiddler,Early Hours,2023-07-14,,,,
rel_7e5600f3ba89,art_84fcc87218da,Amp Fiddler,Energy Remixes,2022-02-11,,,,
rel_e3e1b176f2c1,art_84fcc87218da,Amp Fiddler,Free Pt. I,2014-06-30,,,,
rel_5b6c70e7b15c,art_84fcc87218da,Amp Fiddler,Gentrified Love Part 3,2017-03-28,,,,
rel_2bf3faeed2a6,art_84fcc87218da,Amp Fiddler,I Believe in You,2004-03-08,,,,
rel_46359c7e0ea2,art_84fcc87218da,Amp Fiddler,If I Don’t,2006-06,,,,
rel_d778f286655b,art_84fcc87218da,Amp Fiddler,If I Don’t (Dubstep Mixes),2007,,,,
rel_451019006a04,art_84fcc87218da,Amp Fiddler,If You Can’t Get Me Off Your Mind,2004,,,,
rel_a37155ddd8d9,art_84fcc87218da,Amp Fiddler,Inspiration Information,2008-10-14,,,,
rel_fca9077cb061,art_84fcc87218da,Amp Fiddler,Keep Coming,2019-02-22,,,,
rel_86a3046007d8,art_84fcc87218da,Amp Fiddler,Love and War EP,2003,,,,
rel_ab5400d52cd4,art_84fcc87218da,Amp Fiddler,Motor City Booty,2016-07-18,,,,
rel_a62e36c7c3a8,art_84fcc87218da,Amp Fiddler,Motor City Booty (The Remixes),2016-10-10,,,,
rel_b45bf2b07b36,art_84fcc87218da,Amp Fiddler,Possibilities,2003-11,,,,
rel_51bf446f1432,art_84fcc87218da,Amp Fiddler,Ridin',2007,,,,
rel_2b1426f0fb36,art_84fcc87218da,Amp Fiddler,Ridin' / Faith,2007-01-28,,,,
rel_8c4572cc340c,art_84fcc87218da,Amp Fiddler,Right Where You Are,2006-06-20,,,,
rel_d9f359db0eb8,art_84fcc87218da,Amp Fiddler,So Sweet (Louie Vega Remixes),2017-12-29,,,,
rel_df604deed0fc,art_84fcc87218da,Amp Fiddler,The AMPlified Soul Remixes,2024-09-06,,,,
rel_029adefe743f,art_84fcc87218da,Amp Fiddler,The One,2018-10-26,,,,
rel_112f3f9a7078,art_84fcc87218da,Amp Fiddler,Waltz of a Ghetto Fly,2004-01-26,,,,
rel_e7592c7514d2,art_84fcc87218da,Amp Fiddler,What Would You Do? (Louie Vega & Josh Milan Mixes),2022-05-13,,,,
rel_43e9c67b1066,art_84fcc87218da,Amp Fiddler,When The Morning Comes,2010-05-19,,,,
rel_7a9f64ca0561,art_0455f1610c4a,Anderson .Paak,'Til It's Over,2018-04-06,,,,
rel_2508dc2d2323,art_0455f1610c4a,Anderson .Paak,1-800 Heartbreak (with Anderson .Paak),2025-11-13,,,,
rel_8c39b4660f84,art_0455f1610c4a,Anderson .Paak,Am I Wrong (feat. ScHoolboy Q),2015-11-10,,,,
rel_723575ad41d6,art_0455f1610c4a,Anderson .Paak,An Evening With Silk Sonic,2021-11-12,,,,
rel_6563ca2d50bb,art_0455f1610c4a,Anderson .Paak,Bubblin,2018-05-17,,,,
rel_bc180d1688fc,art_0455f1610c4a,Anderson .Paak,Bubblin (feat. Busta Rhymes) [Remix],2018-07-13,,,,
rel_11a89c699e8d,art_0455f1610c4a,Anderson .Paak,Coast,2022-07-29,,,,
rel_3c4a1976fb58,art_0455f1610c4a,Anderson .Paak,Coast (Acoustic),2022-12-07,,,,
rel_411953e7b1be,art_0455f1610c4a,Anderson .Paak,Come Down,2016-01-10,,,,
rel_8641bb91c84d,art_0455f1610c4a,Anderson .Paak,Crush You,2023-05-30,,,,
rel_fefacac85fd0,art_0455f1610c4a,Anderson .Paak,CUT EM IN (feat. Rick Ross),2020-08-14,,,,
rel_7928dca9562e,art_0455f1610c4a,Anderson .Paak,Dance With The Devil,2024-06-28,,,,
rel_6544aadaec60,art_0455f1610c4a,Anderson .Paak,Daydreaming,2023-05-18,,,,
rel_17f74096d935,art_0455f1610c4a,Anderson .Paak,Don't Remind Me (with Anderson .Paak & KILIMANJARO) [KILIMANJARO Remix],2026-02-13,,,,
rel_3e6b3b3d68ee,art_0455f1610c4a,Anderson .Paak,Don't Remind Me (with Anderson .Paak),2025-10-08,,,,
rel_7f183c203e57,art_0455f1610c4a,Anderson .Paak,Don't Slack (from Trolls World Tour),2020-03-10,,,,
rel_3b6ef84c51d7,art_0455f1610c4a,Anderson .Paak,"ETA (with Snoop Dogg, Busta Rhymes & Anderson .Paak)",2022-02-04,,,,
rel_62494eef9e09,art_0455f1610c4a,Anderson .Paak,Everybody Gets Down,2025-05-12,,,,
rel_c4725d9907c9,art_0455f1610c4a,Anderson .Paak,FromHere (feat. Snoop Dogg & October London),2024-05-14,,,,
rel_7249250160e4,art_0455f1610c4a,Anderson .Paak,Gangsta,2024-02-23,,,,
rel_679663017e92,art_0455f1610c4a,Anderson .Paak,Gone,2017-09-01,,,,
rel_0acfc0bedccd,art_0455f1610c4a,Anderson .Paak,Hello World (Song of the Olympics™),2024-07-25,,,,
rel_20fc4ac3ec91,art_0455f1610c4a,Anderson .Paak,JEWELZ,2020-10-06,,,,
rel_a43986a711bd,art_0455f1610c4a,Anderson .Paak,KeepHer (feat. Thundercat) (Knxwledge Remix),2025-09-11,,,,
rel_1e279b207055,art_0455f1610c4a,Anderson .Paak,Keychain (FROM THE FILM K-POPS!),2026-02-27,,,,
rel_dee464158334,art_0455f1610c4a,Anderson .Paak,Leave The Door Open (Live),2021-04-02,,,,
rel_ba3d1480757b,art_0455f1610c4a,Anderson .Paak,Link Up & Suede,2015-12-04,,,,
rel_1f65acb560c7,art_0455f1610c4a,Anderson .Paak,Lockdown,2020-06-19,,,,
rel_717fa189117d,art_0455f1610c4a,Anderson .Paak,Lockdown (Remix Bundle),2020-08-07,,,,
rel_1a6d031428b0,art_0455f1610c4a,Anderson .Paak,Malibu,2016-01-15,,,,
rel_d12a7486009a,art_0455f1610c4a,Anderson .Paak,Miss Right,2014-10-14,,,,
rel_de88e5ac031c,art_0455f1610c4a,Anderson .Paak,NO CAP,2025-08-06,,,,
rel_735e888bdcdf,art_0455f1610c4a,Anderson .Paak,On Sum,2024-08-29,,,,
rel_8e02aa277450,art_0455f1610c4a,Anderson .Paak,Oxnard,2018-11-16,,,,
rel_eeacd97e4b2f,art_0455f1610c4a,Anderson .Paak,places to be (remixes),2024-07-19,,,,
rel_b72dfc115c4f,art_0455f1610c4a,Anderson .Paak,POETRY IN MOTION,2024-03-21,,,,
rel_89ec0b48db80,art_0455f1610c4a,Anderson .Paak,Room In Here (feat. The Game & Sonyae Elise),2015-12-09,,,,
rel_43b3e965fc6f,art_0455f1610c4a,Anderson .Paak,Spotify Singles - Christmas,2018-11-14,,,,
