track_id,release_id,work_id,version_id,artist_id,artist_name,song_name,album_name,track_position,row_type,release_date,release_category,edition_type,version_type,source_release_id,duration_seconds,spotify_url,youtube_url
trk_8bdad7151af2,rel_c73be50f6784,wrk_186fc03483bc,ver_e61f640b4277,art_8c61debcea6f,The Parliaments,Sunday Kind Of Love / The Wind,"Sunday Kind Of Love / The Wind (10"")",,album,1956,original,demo,same_master,,,,
trk_331c497c985d,rel_445be7d8d756,wrk_6959d74e3822,ver_0f8fdbe143b2,art_8c61debcea6f,The Parliaments,Poor Willie / Party Boys,Poor Willie / Party Boys,,single,1959,original,standard,same_master,,244,https://open.spotify.com/track/1jx6eeZr6A1SbniFvvUru7,https://www.youtube.com/watch?v=oM8iJmXUnOI
trk_460a52a35ac3,rel_12052ba92987,wrk_422c607497fc,ver_d15edeb1fbc7,art_8c61debcea6f,The Parliaments,Lonely Island,Lonely Island,,single,1960,original,standard,same_master,,167,,
trk_aa88bbec8386,rel_a5ac6710d922,wrk_201c73870683,ver_147d4534c318,art_8c61debcea6f,The Parliaments,Heart Trouble / That Was My Girl,Heart Trouble / That Was My Girl,,single,1964-11,original,standard,same_master,,347,,https://www.youtube.com/watch?v=nn-Y2b3yZkI
trk_407e96b2744d,rel_f78375e88d12,wrk_93b984d805bb,ver_81255063ed3d,art_1341028331ab,Darrell Banks,Open The Door To Your Heart / Our Love (Is In The Pocket),Open The Door To Your Heart,,single,1966,original,standard,same_master,,,https://open.spotify.com/track/0rbyxKKubocBP2LWlwL3L8,https://www.youtube.com/watch?v=V7quUpbXHno
trk_58275b9a2e0a,rel_56a3fffc0f3e,wrk_a607ba21ad5a,ver_0e2623e788ef,art_a6fd6c4047bc,J.J. Barnes,Day Tripper / Don't Bring Me Bad News,Day Tripper,,single,1966,original,standard,same_master,,127,,
trk_c22df495e17f,rel_86d9c36e6a8d,wrk_aa722bf13f80,ver_9ee4b5cdcc02,art_ec1e469221b7,The Debonaires,Loving You Takes All Of My Time,Loving You Takes All Of My Time,,single,1966,original,standard,same_master,,,,
trk_e193595f4c02,rel_a5695ec2c551,wrk_2de68ebd99d0,ver_aa7d6f7ba3f5,art_114020487eb5,The Fantastic Four,Girl Have Pity / Live Up To What She Thinks,Girl Have Pity,,single,1966,original,standard,live_recording,,371,,https://www.youtube.com/watch?v=wGGfqX3QoDI
trk_ef2efa221bf0,rel_ce358d7c14a7,wrk_1849f0368357,ver_bbef0d50d10b,art_e3b0a16787ae,Pat Lewis,Can't Shake It Loose / Let's Go Together,Can't Shake It Loose,,single,1966,original,standard,same_master,,210,,
trk_deae4143f6dc,rel_a0a5a9486ee0,wrk_1ab04bca5616,ver_b54d0d7b5c1f,art_e3b0a16787ae,Pat Lewis,Look At What I Almost Missed / No Baby No,Look At What I Almost Missed,,single,1966,original,standard,same_master,,151,,
