work_id,artist_id,artist_name,work_name
wrk_d29c0199cda2,art_24252a1b6e26,A Parliament Thang,I Call My Baby Pussycat
wrk_48d9e54dd674,art_24252a1b6e26,A Parliament Thang,I Call My Baby Pussycat / Little Ole Country Boy
wrk_89d21e9e39f5,art_84fcc87218da,Amp Fiddler,
wrk_d6ae91af1c70,art_0455f1610c4a,Anderson .Paak,
wrk_ec1b24fbad21,art_ffe23fdbdb0e,Andre Foxxe,
wrk_4544425acc56,art_ffe23fdbdb0e,Andre Foxxe,Bassically Speaking
wrk_c88e24d1fe7c,art_ffe23fdbdb0e,Andre Foxxe,Black Beach
wrk_25d6a4bdbc4b,art_ffe23fdbdb0e,Andre Foxxe,Fox Hunt
wrk_f9b63b462bea,art_ffe23fdbdb0e,Andre Foxxe,I'm Funk And I'm Proud
wrk_1346961228f9,art_ffe23fdbdb0e,Andre Foxxe,In My Mind
wrk_2204a6aefd89,art_ffe23fdbdb0e,Andre Foxxe,Jealous Hunts Love
wrk_066536ccd914,art_ffe23fdbdb0e,Andre Foxxe,Love Deeper
wrk_a43203bc273c,art_ffe23fdbdb0e,Andre Foxxe,Mature Freak
wrk_3e48fa6f0243,art_ffe23fdbdb0e,Andre Foxxe,Myllenium
wrk_41ae267c03c8,art_ffe23fdbdb0e,Andre Foxxe,Open House
wrk_b98afd94dc7d,art_ffe23fdbdb0e,Andre Foxxe,Pizzaz
wrk_0d7baa245f17,art_ffe23fdbdb0e,Andre Foxxe,Puppy Love
wrk_1ed80fec001b,art_ffe23fdbdb0e,Andre Foxxe,Reputation
wrk_a6497e3b3a6d,art_ffe23fdbdb0e,Andre Foxxe,Squirell Looking For A Nut
wrk_c91014faae26,art_ffe23fdbdb0e,Andre Foxxe,Toyota Corolla
wrk_fd1bd0ea9978,art_ffe23fdbdb0e,Andre Foxxe,When End Meets
wrk_54ef374b4468,art_8ba799c46419,Andre Foxxe featuring Flea,Hanging Around
wrk_048f6f3adb43,art_910dbdc3ddda,Andre Nickatina,
wrk_50525713a58a,art_d4bff5d6c55f,Aram Khachaturian,
wrk_33301add39c9,art_33feb546b198,Artists United Against Apartheid,
wrk_b1c9d1e36adf,art_33feb546b198,Artists United Against Apartheid,Sun City [song]
wrk_4f305ea4e961,art_a6288c3d74f9,Bernie Worrell,
