artist,song_name,album_name,track_position,row_type,release_category,edition_type,version_type,release_date,label,era,genre,chart_position,awards,spotify_url,youtube_url,duration_seconds,alternative_names,source_release_id,work_id,version_id,notes
The Parliaments,Sunday Kind Of Love / The Wind,"Sunday Kind Of Love / The Wind (10"")",,album,original,demo,same_master,1956,"Unreleased (10"" acetate)",Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,,,,,wrk_186fc03483bc,ver_e61f640b4277,"Pre-P-Funk era; 10"" acetate demo - never commercially released; year 1956 per soulfulkindamusic; not digitized"
The Parliaments,Poor Willie / Party Boys,Poor Willie / Party Boys,,single,original,standard,same_master,1959,APT (APT 25036),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,https://open.spotify.com/track/1jx6eeZr6A1SbniFvvUru7,https://www.youtube.com/watch?v=oM8iJmXUnOI,244,,,wrk_6959d74e3822,ver_0f8fdbe143b2,"7"" single; year per Discogs/soulfulkindamusic"
The Parliaments,Lonely Island,Lonely Island,,single,original,standard,same_master,1960,Flipp (FL 45-100),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,,167,,,wrk_422c607497fc,ver_d15edeb1fbc7,"7"" single; B-side: (You Make Me Wanna) Cry; year confirmed"
The Parliaments,Heart Trouble / That Was My Girl,Heart Trouble / That Was My Girl,,single,original,standard,same_master,1964-11,Golden World Records (GW-46),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,https://www.youtube.com/watch?v=nn-Y2b3yZkI,347,,,wrk_201c73870683,ver_147d4534c318,"7"" single"
Darrell Banks,Open The Door To Your Heart / Our Love (Is In The Pocket),Open The Door To Your Heart,,single,original,standard,same_master,1966,Revilot (RV-201),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,https://open.spotify.com/track/0rbyxKKubocBP2LWlwL3L8,https://www.youtube.com/watch?v=V7quUpbXHno,,,,wrk_93b984d805bb,ver_81255063ed3d,"7"" single; George Clinton (songwriter B-side ""Our Love Is In The Pocket"" via Geo-Si-Mik); Mike Terry (arranger B-side); A-side: Solid Hitbound/Funk Brothers"
J.J. Barnes,Day Tripper / Don't Bring Me Bad News,Day Tripper,,single,original,standard,same_master,1966,Ric Tic (115),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,,127,,,wrk_a607ba21ad5a,ver_0e2623e788ef,"7"" single; P-Funk members as session musicians"
The Debonaires,Loving You Takes All Of My Time,Loving You Takes All Of My Time,,single,original,standard,same_master,1966,Solid Hit (102),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,,,,,wrk_aa722bf13f80,ver_9ee4b5cdcc02,"7"" single; P-Funk members as session musicians"
The Fantastic Four,Girl Have Pity / Live Up To What She Thinks,Girl Have Pity,,single,original,standard,live_recording,1966,Ric Tic (119),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,https://www.youtube.com/watch?v=wGGfqX3QoDI,371,,,wrk_2de68ebd99d0,ver_aa7d6f7ba3f5,"7"" single; P-Funk members as session musicians"
Pat Lewis,Can't Shake It Loose / Let's Go Together,Can't Shake It Loose,,single,original,standard,same_master,1966,Golden World (42),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,,210,,,wrk_1849f0368357,ver_bbef0d50d10b,"7"" single; P-Funk members as session musicians; vinyl only"
Pat Lewis,Look At What I Almost Missed / No Baby No,Look At What I Almost Missed,,single,original,standard,same_master,1966,Solid Hitbound (101),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,,151,,,wrk_1ab04bca5616,ver_b54d0d7b5c1f,"7"" single; P-Funk members as session musicians"
Theresa Lindsay,I'll Bet You / Daddy-O,I'll Bet You,,single,original,standard,same_master,1966,Golden World (43),Pre-P-Funk (1955–1969),"Soul, R&B, Proto-Funk",,,,https://www.youtube.com/watch?v=-l0cOrEluXw,224,,,wrk_7297bc3de49a,ver_cc326b3aa030,"7"" single; P-Funk members as session musicians"
